"Hot Spots - Class";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"org.apache.fop.fo.StaticPropertyList";"0.009305128";"20.129 ms";"20.129 ms";"2268.493 ms";"2268.493 ms";"205"
"sun.misc.URLClassPath";"0.009255664";"20.022 ms";"20.022 ms";"40.512 ms";"40.512 ms";"3"
"org.apache.fop.area.IDTracker";"0.009213135";"19.93 ms";"19.93 ms";"19.93 ms";"19.93 ms";"1"
"org.apache.fop.fo.flow.table.SeparateBorderResolver";"0.009212211";"19.928 ms";"19.928 ms";"19.928 ms";"19.928 ms";"1"
"org.apache.fop.layoutmgr.SpaceResolver$SpaceHandlingBreakPosition";"0.009138709";"19.769 ms";"19.769 ms";"60.486 ms";"60.486 ms";"3"
"org.apache.fop.fo.properties.CommonMarginBlock";"0.009098029";"19.681 ms";"19.681 ms";"416.502 ms";"416.502 ms";"21"
"org.apache.fop.fo.properties.LineHeightPropertyMaker";"0.009076302";"19.634 ms";"19.634 ms";"482.834 ms";"482.834 ms";"50"
"org.apache.fop.layoutmgr.table.TableStepper";"0.009058273";"19.595 ms";"19.595 ms";"19.595 ms";"19.595 ms";"3"
"org.apache.fop.layoutmgr.PageProvider";"0.009051802";"19.581 ms";"19.581 ms";"155.447 ms";"155.447 ms";"17"
"org.apache.fop.layoutmgr.list.ListItemContentLayoutManager";"0.008997253";"19.463 ms";"19.463 ms";"305.62 ms";"305.62 ms";"16"
"org.apache.fop.layoutmgr.AbstractBaseLayoutManager";"0.008975526";"19.416 ms";"19.416 ms";"19.416 ms";"19.416 ms";"1"
"org.apache.xerces.parsers.AbstractSAXParser";"0.008963507";"19.39 ms";"19.39 ms";"18705.245 ms";"18705.245 ms";"355"
"org.apache.fop.fo.flow.AbstractListItemPart";"0.008950563";"19.362 ms";"19.362 ms";"19.362 ms";"19.362 ms";"1"
"org.apache.fop.fo.properties.Property";"0.008934383";"19.327 ms";"19.327 ms";"19.327 ms";"19.327 ms";"1"
"java.lang.Class";"0.008828985";"19.099 ms";"19.099 ms";"237.162 ms";"237.162 ms";"42"
"org.apache.xerces.util.URI";"0.008805871";"19.049 ms";"19.049 ms";"19.049 ms";"19.049 ms";"4"
"java.util.Arrays";"0.0088030975";"19.043 ms";"19.043 ms";"19.043 ms";"19.043 ms";"1"
"org.apache.fop.fo.flow.table.TableCell";"0.008774899";"18.982 ms";"18.982 ms";"59.98 ms";"59.98 ms";"5"
"org.apache.xmlgraphics.fonts.Glyphs";"0.008750861";"18.93 ms";"18.93 ms";"18.93 ms";"18.93 ms";"1"
"org.apache.fop.fonts.FontInfo";"0.008707407";"18.836 ms";"18.836 ms";"102.274 ms";"102.274 ms";"7"
"org.apache.fop.layoutmgr.StaticContentLayoutManager$StaticContentBreaker";"0.008650547";"18.713 ms";"18.713 ms";"443.581 ms";"443.581 ms";"26"
"org.apache.xerces.impl.io.UTF8Reader";"0.008634367";"18.678 ms";"18.678 ms";"444.936 ms";"444.936 ms";"22"
"org.apache.fop.fo.flow.table.FixedColRowGroupBuilder";"0.008611715";"18.629 ms";"18.629 ms";"38.557 ms";"38.557 ms";"3"
"java.util.ArrayList";"0.008610329";"18.626 ms";"18.626 ms";"78.738 ms";"78.738 ms";"4"
"java.io.BufferedWriter";"0.008591838";"18.586 ms";"18.586 ms";"18.586 ms";"18.586 ms";"2"
"java.lang.Long";"0.0083616255";"18.088 ms";"18.088 ms";"18.088 ms";"18.088 ms";"2"
