sep=;
"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"java.util.HashMap.hash()";"0.0";"0.0 ms";"0.0 ms";"25992.379 ms";"25992.379 ms";"1237"
"sun.reflect.DelegatingMethodAccessorImpl.invoke()";"0.0";"0.0 ms";"0.0 ms";"689290.046 ms";"348541.078 ms";"424"
"java.lang.reflect.Method.invoke()";"0.0";"0.0 ms";"0.0 ms";"689290.046 ms";"348541.078 ms";"424"
"avrora.sim.AtmelInterpreter.start()";"0.0";"0.0 ms";"0.0 ms";"2044417.664 ms";"279343.624 ms";"348"
"avrora.sim.Simulator.start()";"0.0";"0.0 ms";"0.0 ms";"2044417.664 ms";"279343.624 ms";"348"
"avrora.sim.SimulatorThread.run()";"0.0";"0.0 ms";"0.0 ms";"2044446.322 ms";"279343.624 ms";"348"
"java.net.SocketInputStream.read()";"0.0";"0.0 ms";"0.0 ms";"400973.501 ms";"400973.501 ms";"246"
"sun.rmi.transport.Transport$1.run()";"0.0";"0.0 ms";"0.0 ms";"345035.445 ms";"345035.445 ms";"238"
"com.sun.jmx.mbeanserver.MXBeanIntrospector.invokeM2()";"0.0";"0.0 ms";"0.0 ms";"344576.734 ms";"344576.734 ms";"234"
"com.sun.jmx.mbeanserver.ConvertingMethod.invokeWithOpenReturn()";"0.0";"0.0 ms";"0.0 ms";"344576.734 ms";"344576.734 ms";"234"
"java.io.PrintStream.newLine()";"0.0";"0.0 ms";"0.0 ms";"3080.504 ms";"3080.504 ms";"155"
"avrora.sim.clock.RippleSynchronizer.access$000()";"0.0";"0.0 ms";"0.0 ms";"2528.699 ms";"2528.699 ms";"126"
"java.io.BufferedInputStream.read()";"0.0";"0.0 ms";"0.0 ms";"400973.501 ms";"400973.501 ms";"123"
"java.io.BufferedInputStream.fill()";"0.0";"0.0 ms";"0.0 ms";"400973.501 ms";"400973.501 ms";"123"
"java.net.SocketInputStream.socketRead()";"0.0";"0.0 ms";"0.0 ms";"400973.501 ms";"400973.501 ms";"123"
"java.io.FilterInputStream.read()";"0.0";"0.0 ms";"0.0 ms";"400973.501 ms";"400973.501 ms";"123"
"avrora.sim.mcu.DefaultMCU$Pin.setOutputDir()";"0.0";"0.0 ms";"0.0 ms";"2395.725 ms";"561.893 ms";"121"
"avrora.sim.mcu.ATMegaFamily$DirectionRegister.write()";"0.0";"0.0 ms";"0.0 ms";"2395.725 ms";"561.893 ms";"121"
"javax.management.remote.rmi.RMIConnectionImpl.doPrivilegedOperation()";"0.0";"0.0 ms";"0.0 ms";"344627.377 ms";"344627.377 ms";"120"
"sun.rmi.server.UnicastServerRef.dispatch()";"0.0";"0.0 ms";"0.0 ms";"345035.445 ms";"345035.445 ms";"119"
"sun.rmi.transport.Transport.serviceCall()";"0.0";"0.0 ms";"0.0 ms";"345054.071 ms";"345054.071 ms";"119"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation.run()";"0.0";"0.0 ms";"0.0 ms";"344589.671 ms";"344589.671 ms";"118"
"javax.management.remote.rmi.RMIConnectionImpl.access$300()";"0.0";"0.0 ms";"0.0 ms";"344589.671 ms";"344589.671 ms";"118"
"javax.management.remote.rmi.RMIConnectionImpl.doOperation()";"0.0";"0.0 ms";"0.0 ms";"344589.671 ms";"344589.671 ms";"118"
"com.sun.jmx.mbeanserver.MBeanIntrospector.invokeM()";"0.0";"0.0 ms";"0.0 ms";"344576.734 ms";"344576.734 ms";"117"
"sun.reflect.GeneratedMethodAccessor1.invoke()";"0.0";"0.0 ms";"0.0 ms";"344493.159 ms";"344493.159 ms";"117"
"sun.management.ThreadImpl.dumpAllThreads()";"0.0";"0.0 ms";"0.0 ms";"344373.877 ms";"344373.877 ms";"117"
"sun.reflect.misc.Trampoline.invoke()";"0.0";"0.0 ms";"0.0 ms";"344493.159 ms";"344493.159 ms";"117"
"sun.reflect.misc.MethodUtil.invoke()";"0.0";"0.0 ms";"0.0 ms";"344493.159 ms";"344493.159 ms";"117"
"java.lang.Thread.join()";"0.0";"0.0 ms";"0.0 ms";"340748.967 ms";"0.0 ms";"116"
"sun.reflect.GeneratedMethodAccessor37.invoke()";"0.0";"0.0 ms";"0.0 ms";"344076.96 ms";"344076.96 ms";"116"
"com.sun.jmx.mbeanserver.PerInterface.invoke()";"0.0";"0.0 ms";"0.0 ms";"344533.074 ms";"344533.074 ms";"115"
"com.sun.jmx.mbeanserver.JmxMBeanServer.invoke()";"0.0";"0.0 ms";"0.0 ms";"344533.074 ms";"344533.074 ms";"115"
"com.sun.jmx.mbeanserver.MBeanSupport.invoke()";"0.0";"0.0 ms";"0.0 ms";"344533.074 ms";"344533.074 ms";"115"
"javax.management.StandardMBean.invoke()";"0.0";"0.0 ms";"0.0 ms";"344533.074 ms";"344533.074 ms";"115"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor.invoke()";"0.0";"0.0 ms";"0.0 ms";"344533.074 ms";"344533.074 ms";"115"
"sun.reflect.GeneratedMethodAccessor32.invoke()";"0.0";"0.0 ms";"0.0 ms";"344553.897 ms";"344553.897 ms";"115"
"javax.management.remote.rmi.RMIConnectionImpl.invoke()";"0.0";"0.0 ms";"0.0 ms";"344553.897 ms";"344553.897 ms";"115"
"avrora.sim.clock.RippleSynchronizer.join()";"0.0";"0.0 ms";"0.0 ms";"340748.967 ms";"0.0 ms";"58"
"org.dacapo.harness.Avrora.iterate()";"0.0";"0.0 ms";"0.0 ms";"342965.016 ms";"2216.047 ms";"58"
"avrora.Main.main()";"0.0";"0.0 ms";"0.0 ms";"342965.015 ms";"2216.047 ms";"58"
"avrora.Main.runAction()";"0.0";"0.0 ms";"0.0 ms";"342965.015 ms";"2216.047 ms";"58"
"avrora.actions.SimAction.run()";"0.0";"0.0 ms";"0.0 ms";"342868.437 ms";"2119.468 ms";"58"
"avrora.sim.Simulation.join()";"0.0";"0.0 ms";"0.0 ms";"340748.967 ms";"0.0 ms";"58"
"avrora.sim.types.SensorSimulation.createNodes()";"0.0";"0.0 ms";"0.0 ms";"1688.22 ms";"1688.22 ms";"57"
"avrora.Main.loadProgram()";"0.0";"0.0 ms";"0.0 ms";"1688.22 ms";"1688.22 ms";"57"
"avrora.core.LoadableProgram.load()";"0.0";"0.0 ms";"0.0 ms";"1688.22 ms";"1688.22 ms";"57"
"avrora.sim.types.SensorSimulation.process()";"0.0";"0.0 ms";"0.0 ms";"1708.678 ms";"1708.678 ms";"57"
"org.dacapo.harness.Benchmark.startIteration()";"0.0";"0.0 ms";"0.0 ms";"1012.942 ms";"1012.942 ms";"57"
"java.io.ObjectOutputStream.writeObject0()";"0.0";"0.0 ms";"0.0 ms";"267.966 ms";"267.966 ms";"56"
